uf,municipio,codigo_ibge,ano,valor_investimento,valor_desbloqueado,valor_desembolsado,valor_empenhado
PE,RECIFE,2611606.0,2011.0,77920394.50999999,62211677.65,62211677.65,
PE,RECIFE,2611606.0,2011.0,16970838.8,14550000.0,14550000.0,
PE,RECIFE,2611606.0,2011.0,187555114.1,149770552.11,149770552.11,
PE,RECIFE,2611606.0,2011.0,169751038.6,95119604.02,95119604.02,
PE,RECIFE,2611606.0,2011.0,419558569.8,321070000.0,321070000.0,
PE,RECIFE,2611606.0,2015.0,528875317.0,66094296.63,66094296.63,
PE,RECIFE,2611606.0,2014.0,105199717.23,66289944.47,66289944.47,
PE,RECIFE,2611606.0,2014.0,5621426.09,,,
PE,RECIFE,2611606.0,2014.0,3541496.71,,,
PE,RECIFE,2611606.0,2014.0,3273733.3800000004,2869771.68,2869771.68,
PE,RECIFE,2611606.0,2014.0,43637295.480000004,28669671.81,28669671.81,
PE,RECIFE,2611606.0,2014.0,2879032.41,2734553.31,2734553.31,
PE,RECIFE,2611606.0,2013.0,13300499.6,8335229.33,8336173.12,
PE,RECIFE,2611606.0,2014.0,17369044.189999998,4816351.4,9432140.06,
PE,RECIFE,2611606.0,2014.0,174203031.54000002,8739957.12,21648978.09,
PE,RECIFE,2611606.0,2013.0,137010554.59,51982898.51,93072524.85,
PE,RECIFE,2611606.0,2017.0,308696695.07,0.0,0.0,
PE,Recife,2611606.0,,172000000.0,0.0,0.0,
PE,Recife,2611606.0,,1606000000.0,0.0,0.0,
PE,Recife,2611606.0,,15000000.0,0.0,0.0,
PE,RECIFE,2611606.0,,98300000.0,0.0,0.0,
PE,RECIFE,2611606.0,,23700000.0,0.0,0.0,
PE,RECIFE,2611606.0,1997.0,1800000.0,0.0,1500000.0,1500000.0
PE,RECIFE,2611606.0,,2400000.0,0.0,0.0,0.0
PE,RECIFE,2611606.0,1997.0,8760000.0,7286895.63,7300000.0,7300000.0
PE,RECIFE,2611606.0,,1008000.0,0.0,0.0,0.0
PE,RECIFE,2611606.0,,2204289.87,0.0,0.0,0.0
PE,RECIFE,2611606.0,1998.0,4803530.72,4000000.0,4000000.0,4000000.0
PE,RECIFE,2611606.0,1998.0,3171418.84,0.0,0.0,0.0
PE,RECIFE,2611606.0,1998.0,4825890.02,4021575.0,4021575.0,4021575.0
PE,RECIFE,2611606.0,1998.0,1620391.38,1207356.41,1335576.0,1335576.0
PE,RECIFE,2611606.0,1999.0,5675848.15,4100000.0,4100000.0,4100000.0
PE,RECIFE,2611606.0,1999.0,683142.15,565704.92,570000.0,570000.0
PE,RECIFE,2611606.0,1999.0,442522.91000000003,362614.62,370000.0,370000.0
PE,RECIFE,2611606.0,1999.0,303958.13,250000.0,250000.0,250000.0
