uf,municipio,codigo_ibge,ano,valor_investimento,valor_desbloqueado,valor_desembolsado,valor_empenhado
PE,RECIFE,2611606.0,2011.0,77920394.50999999,62211677.65,62211677.65,
PE,RECIFE,2611606.0,2011.0,16970838.8,14550000.0,14550000.0,
PE,RECIFE,2611606.0,2011.0,187555114.1,149770552.11,149770552.11,
PR,CURITIBA,4106902.0,2010.0,60293879.86,57279185.87,57279185.87,
RS,PORTO ALEGRE,4314902.0,2010.0,162774924.26999998,46822029.46,46822029.46,
RS,PORTO ALEGRE,4314902.0,2010.0,67075022.69,44007922.38,44007922.38,
MT,CUIABÁ,5103403.0,2010.0,132300000.0,,,
MT,CUIABÁ,5103403.0,2010.0,37130720.989999995,30040274.15,30040274.15,
RS,PORTO ALEGRE,4314902.0,2010.0,98570000.0,18542951.28,18542951.28,
RS,PORTO ALEGRE,4314902.0,2010.0,11605052.4,5080723.91,5080723.91,
CE,FORTALEZA,2304400.0,2011.0,38598086.629999995,15318742.16,15318742.16,
SP,SÃO PAULO,3550308.0,2010.0,1883507220.79,717074644.19,717074644.19,
RS,PORTO ALEGRE,4314902.0,2010.0,150770103.66,72166573.8,72166573.8,
MG,BELO HORIZONTE,3106200.0,2010.0,237913765.11,77235954.18,77235954.18,
MG,BELO HORIZONTE,3106200.0,2010.0,54990375.050000004,49987281.67,49987281.67,
AC,RIO BRANCO,1200401.0,2011.0,73294473.09,63715761.03,63715761.03,
AM,MANAUS,1302603.0,2012.0,43096470.32,38696320.69,38696320.69,
RO,PORTO VELHO,1100205.0,2012.0,14621052.63,10353718.83,10353718.83,
RO,PORTO VELHO,1100205.0,2012.0,6935650.35,6588867.84,6588867.84,
RO,PORTO VELHO,1100205.0,2012.0,16178947.37,6274919.98,6274919.98,
RS,PORTO ALEGRE,4314902.0,2010.0,29189398.48,5438990.41,5438990.41,
RS,PORTO ALEGRE,4314902.0,2010.0,17217484.92,11714028.84,11714028.84,
RS,PORTO ALEGRE,4314902.0,2010.0,29473684.21,,,
PE,RECIFE,2611606.0,2011.0,169751038.6,95119604.02,95119604.02,
MG,BELO HORIZONTE,3106200.0,2010.0,709384153.04,353213929.91,353213929.91,
MG,BELO HORIZONTE,3106200.0,2010.0,30923146.71,29344199.34,29344199.34,
PR,CURITIBA,4106902.0,2010.0,40337558.79,27633824.77,27633824.77,
DF,BRASÍLIA,5300108.0,2011.0,276842105.2,,,
DF,BRASÍLIA,5300108.0,2011.0,103157886.72,88127570.17,88127570.17,
CE,FORTALEZA,2304400.0,2011.0,27785225.689999998,17119714.68,17119714.68,
RS,PORTO ALEGRE,4314902.0,2010.0,16587888.4,9998435.82,9998435.82,
MG,BELO HORIZONTE,3106200.0,2010.0,74464428.61,55000000.0,55000000.0,
